name,email,password,dateofbirth
Lipaz,lipaz@gmail.com,qwerqwer,1990-01-01
Or,Or@gmail.com,o345567,1980-11-03
May,May@gmail.com,M23a56y,1985-07-09
Nissim,Nissim@gmail.com,Nissimmmm,1977-09-11
Alon,Alon@gmail.com,aloni4789,1994-03-02
Lilach,Lilach@gmail.com,lili8732,2000-03-01
Oz,Oz@comcast.net,ozozozoz1,1990-12-12
Shai,shawnce@gmail.com,shshshshsh2,1988-11-19
Eva,eabrown@gmail.net,12eva34,1991-08-05
Shani,Shani@hotmail.com,shanini67,1999-05-08
Ali,Ali@mac.com,ali056478,1966-10-09
Lia,Lia@mac.com,liallll6,1995-05-05
Zohar,Zohar@mac.com,hahahaz3,1998-05-17
Gili,Gili@aol.com,gilgol7786,1993-06-05
Inbar,Inbar@aol.com,inbi6482,2001-06-06
Adi,Adi@att.net,adidush568,1981-11-11
Noam,Noam@att.net,no35am677,1969-12-28
Amit,Amit@att.net,amit234567,1973-12-28
Tav,Tav@att.net,doramifasol1,1968-01-29
